row_number,prompt,ground_truth_path,final_template_path,success,failure_reason,error_message,failed_at_stage,total_iterations,highest_feedback_level,coverage_percentage,accuracy_percentage,checkov_pass_user_intent,checkov_validation_details,checkov_pass_security,checkov_pass_security_percentage,checkov_security_details
31,"We need a CloudFormation template that creates an automated deployment pipeline for the Etherpad application using AWS CodeDeploy. The template should deploy Etherpad on EC2 instances within an Auto Scaling group across two subnets, fronted by an internet-facing Application Load Balancer for traffic distribution. It must provision a MySQL RDS instance for database storage and integrate AWS Systems Manager (SSM) for secure parameter storage. The solution should automate instance provisioning with a launch template that installs dependencies (Node.js, CodeDeploy agent) and signals CloudFormation upon readiness. An S3 bucket stores deployment artifacts, while CodeDeploy resources manage application updates. ",groud_truth\template\codedeploy.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_31_update_14_template_20250421_143127.yaml,TRUE,,,,14,moderate,77.41935484,60,,,FALSE,65.79,"{'total_checks': 38, 'passed_checks': 25, 'failed_checks': 13, 'pass_percentage': 65.79, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.ALBSecurityGroup'}, {'id': 'CKV_AWS_260', 'name': 'Ensure no security groups allow ingress from 0.0.0.0:0 to port 80', 'resource': 'AWS::EC2::SecurityGroup.ALBSecurityGroup'}, {'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.EC2SecurityGroup'}, {'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.DBSecurityGroup'}, {'id': 'CKV_AWS_16', 'name': 'Ensure all data stored in the RDS is securely encrypted at rest', 'resource': 'AWS::RDS::DBInstance.Database'}, {'id': 'CKV_AWS_118', 'name': 'Ensure that enhanced monitoring is enabled for Amazon RDS instances', 'resource': 'AWS::RDS::DBInstance.Database'}, {'id': 'CKV_AWS_161', 'name': 'Ensure RDS database has IAM authentication enabled', 'resource': 'AWS::RDS::DBInstance.Database'}, {'id': 'CKV_AWS_157', 'name': 'Ensure that RDS instances have Multi-AZ enabled', 'resource': 'AWS::RDS::DBInstance.Database'}, {'id': 'CKV_AWS_131', 'name': 'Ensure that ALB drops HTTP headers', 'resource': 'AWS::ElasticLoadBalancingV2::LoadBalancer.ApplicationLoadBalancer'}, {'id': 'CKV_AWS_91', 'name': 'Ensure the ELBv2 (Application/Network) has access logging enabled', 'resource': 'AWS::ElasticLoadBalancingV2::LoadBalancer.ApplicationLoadBalancer'}, {'id': 'CKV_AWS_2', 'name': 'Ensure ALB protocol is HTTPS', 'resource': 'AWS::ElasticLoadBalancingV2::Listener.Listener'}, {'id': 'CKV_AWS_103', 'name': 'Ensure that Load Balancer Listener is using at least TLS v1.2', 'resource': 'AWS::ElasticLoadBalancingV2::Listener.Listener'}, {'id': 'CKV_AWS_79', 'name': 'Ensure Instance Metadata Service Version 1 is not enabled', 'resource': 'AWS::EC2::LaunchTemplate.LaunchTemplate'}]}"
32,We need a CloudFormation template that creates a Lambda sample.,groud_truth\template\LambdaSample.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_32_update_3_template_20250224_135140.yaml,TRUE,,,,3,simple,100,100,,,FALSE,76.92,"{'total_checks': 13, 'passed_checks': 10, 'failed_checks': 3, 'pass_percentage': 76.92, 'failed_check_details': [{'id': 'CKV_AWS_116', 'name': 'Ensure that AWS Lambda function is configured for a Dead Letter Queue(DLQ)', 'resource': 'AWS::Lambda::Function.SampleLambdaFunction'}, {'id': 'CKV_AWS_115', 'name': 'Ensure that AWS Lambda function is configured for function-level concurrent execution limit', 'resource': 'AWS::Lambda::Function.SampleLambdaFunction'}, {'id': 'CKV_AWS_117', 'name': 'Ensure that AWS Lambda function is configured inside a VPC', 'resource': 'AWS::Lambda::Function.SampleLambdaFunction'}]}"
33,"We need a CloudFormation template that creates IAM roles for EC2 instances with read-only access to IAM metadata, which allows them to retrieve and list IAM resources. The template should define two roles that trust the EC2 service, attach a managed policy granting permissions for `iam:Get*` and `iam:List*` actions across all IAM resources.",groud_truth\template\lab3.1.4.iamrole.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_33_update_1_template_20250421_144711.yaml,TRUE,,,,1,,100,100,,,TRUE,100,"{'total_checks': 19, 'passed_checks': 19, 'failed_checks': 0, 'pass_percentage': 100.0, 'failed_check_details': []}"
34,"We need a CloudFormation template that creates a MySQL RDS instance (db.r5.large) with Provisioned IOPS (io1 storage) within a VPC. The solution should deploy the database across two private subnets in different Availability Zones using a DB subnet group, with network isolation via a dedicated VPC and a security group restricting access to port 3306 for internal VPC traffic. ",groud_truth\template\RDS_PIOPS.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_34_update_5_template_20250421_144919.yaml,TRUE,,,,5,moderate,77.77777778,100,,,FALSE,63.64,"{'total_checks': 11, 'passed_checks': 7, 'failed_checks': 4, 'pass_percentage': 63.64, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.DBSecurityGroup'}, {'id': 'CKV_AWS_149', 'name': 'Ensure that Secrets Manager secret is encrypted using KMS CMK', 'resource': 'AWS::SecretsManager::Secret.DBSecret'}, {'id': 'CKV_AWS_118', 'name': 'Ensure that enhanced monitoring is enabled for Amazon RDS instances', 'resource': 'AWS::RDS::DBInstance.RDSInstance'}, {'id': 'CKV_AWS_161', 'name': 'Ensure RDS database has IAM authentication enabled', 'resource': 'AWS::RDS::DBInstance.RDSInstance'}]}"
35,"We need a CloudFormation template that creates MySQL RDS instance (db.t3.micro) with automated snapshots and basic networking infrastructure. The template should deploy the database in a VPC with public subnets across two Availability Zones, using a route table and internet gateway for external connectivity. ",groud_truth\template\RDS_Snapshot_On_Delete.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_35_update_5_template_20250421_150711.yaml,TRUE,,,,5,moderate,100,100,,,FALSE,36.36,"{'total_checks': 11, 'passed_checks': 4, 'failed_checks': 7, 'pass_percentage': 36.36, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.DBSecurityGroup'}, {'id': 'CKV_AWS_149', 'name': 'Ensure that Secrets Manager secret is encrypted using KMS CMK', 'resource': 'AWS::SecretsManager::Secret.DBSecret'}, {'id': 'CKV_AWS_16', 'name': 'Ensure all data stored in the RDS is securely encrypted at rest', 'resource': 'AWS::RDS::DBInstance.RDSInstance'}, {'id': 'CKV_AWS_118', 'name': 'Ensure that enhanced monitoring is enabled for Amazon RDS instances', 'resource': 'AWS::RDS::DBInstance.RDSInstance'}, {'id': 'CKV_AWS_161', 'name': 'Ensure RDS database has IAM authentication enabled', 'resource': 'AWS::RDS::DBInstance.RDSInstance'}, {'id': 'CKV_AWS_157', 'name': 'Ensure that RDS instances have Multi-AZ enabled', 'resource': 'AWS::RDS::DBInstance.RDSInstance'}, {'id': 'CKV_AWS_17', 'name': 'Ensure all data stored in RDS is not publicly accessible', 'resource': 'AWS::RDS::DBInstance.RDSInstance'}]}"
36,We need a CloudFormation template that creates a MySQL RDS instance (db.t3.micro) with a custom parameter group and secure network isolation. The template should deploy the database in a VPC with two subnets across Availability Zones. It must integrate AWS Secrets Manager to securely generate and manage admin credentials. ,groud_truth\template\RDS_with_DBParameterGroup.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_36_update_5_template_20250421_151921.yaml,TRUE,,,,5,moderate,100,25,,,FALSE,45.45,"{'total_checks': 11, 'passed_checks': 5, 'failed_checks': 6, 'pass_percentage': 45.45, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.DBSecurityGroup'}, {'id': 'CKV_AWS_149', 'name': 'Ensure that Secrets Manager secret is encrypted using KMS CMK', 'resource': 'AWS::SecretsManager::Secret.DatabaseSecret'}, {'id': 'CKV_AWS_118', 'name': 'Ensure that enhanced monitoring is enabled for Amazon RDS instances', 'resource': 'AWS::RDS::DBInstance.RDSInstance'}, {'id': 'CKV_AWS_161', 'name': 'Ensure RDS database has IAM authentication enabled', 'resource': 'AWS::RDS::DBInstance.RDSInstance'}, {'id': 'CKV_AWS_157', 'name': 'Ensure that RDS instances have Multi-AZ enabled', 'resource': 'AWS::RDS::DBInstance.RDSInstance'}, {'id': 'CKV2_AWS_69', 'name': 'Ensure AWS RDS database instance configured with encryption in transit', 'resource': 'AWS::RDS::DBInstance.RDSInstance'}]}"
37,We need a CloudFormation template that creates a secure bucket that passes default security scanning checks. Includes a bucket to store replicas and an access log bucket. Server side encryption is enabled. Public access is disabled. The bucket policy requires secure transport.,groud_truth\template\compliant-bucket.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_37_update_4_template_20250226_061036.yaml,TRUE,,,,4,moderate,75,100,FALSE,Error: 'user_intent',FALSE,92.59,"{'total_checks': 27, 'passed_checks': 25, 'failed_checks': 2, 'pass_percentage': 92.59, 'failed_check_details': [{'id': 'CKV_AWS_18', 'name': 'Ensure the S3 bucket has access logging enabled', 'resource': 'AWS::S3::Bucket.LoggingBucket'}, {'id': 'CKV_AWS_18', 'name': 'Ensure the S3 bucket has access logging enabled', 'resource': 'AWS::S3::Bucket.ReplicaBucket'}]}"
38,We need a CloudFormation template that creates a S3 bucket trigger lambda function.,groud_truth\template\S3_LambdaTrigger.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_38_update_8_template_20250226_061359.yaml,TRUE,,,,8,moderate,100,100,FALSE,Error: 'user_intent',FALSE,64,"{'total_checks': 25, 'passed_checks': 16, 'failed_checks': 9, 'pass_percentage': 64.0, 'failed_check_details': [{'id': 'CKV_AWS_116', 'name': 'Ensure that AWS Lambda function is configured for a Dead Letter Queue(DLQ)', 'resource': 'AWS::Lambda::Function.LambdaFunction'}, {'id': 'CKV_AWS_115', 'name': 'Ensure that AWS Lambda function is configured for function-level concurrent execution limit', 'resource': 'AWS::Lambda::Function.LambdaFunction'}, {'id': 'CKV_AWS_117', 'name': 'Ensure that AWS Lambda function is configured inside a VPC', 'resource': 'AWS::Lambda::Function.LambdaFunction'}, {'id': 'CKV_AWS_18', 'name': 'Ensure the S3 bucket has access logging enabled', 'resource': 'AWS::S3::Bucket.S3Bucket'}, {'id': 'CKV_AWS_53', 'name': 'Ensure S3 bucket has block public ACLs enabled', 'resource': 'AWS::S3::Bucket.S3Bucket'}, {'id': 'CKV_AWS_54', 'name': 'Ensure S3 bucket has block public policy enabled', 'resource': 'AWS::S3::Bucket.S3Bucket'}, {'id': 'CKV_AWS_55', 'name': 'Ensure S3 bucket has ignore public ACLs enabled', 'resource': 'AWS::S3::Bucket.S3Bucket'}, {'id': 'CKV_AWS_56', 'name': 'Ensure S3 bucket has RestrictPublicBuckets enabled', 'resource': 'AWS::S3::Bucket.S3Bucket'}, {'id': 'CKV_AWS_21', 'name': 'Ensure the S3 bucket has versioning enabled', 'resource': 'AWS::S3::Bucket.S3Bucket'}]}"
39,"We need a CloudFormation template that creates an Amazon ECR repository, which include a repository policy granting the AWS account root user permissions to perform critical ECR actions, for Kubernetes container image management. ",groud_truth\template\ecr.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_39_update_4_template_20250421_154924.yaml,TRUE,,,,4,moderate,100,100,FALSE,Error: 'user_intent',FALSE,50,"{'total_checks': 4, 'passed_checks': 2, 'failed_checks': 2, 'pass_percentage': 50.0, 'failed_check_details': [{'id': 'CKV_AWS_51', 'name': 'Ensure ECR Image Tags are immutable', 'resource': 'AWS::ECR::Repository.KubernetesECRRepository'}, {'id': 'CKV_AWS_136', 'name': 'Ensure that ECR repositories are encrypted using KMS', 'resource': 'AWS::ECR::Repository.KubernetesECRRepository'}]}"
40,We need a CloudFormation template that creates SQS FIFO Queue.,groud_truth\template\SQSFIFOQueue.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_40_update_3_template_20250224_190951.yaml,TRUE,,,,3,simple,50,100,FALSE,Error: 'user_intent',FALSE,0,"{'total_checks': 1, 'passed_checks': 0, 'failed_checks': 1, 'pass_percentage': 0.0, 'failed_check_details': [{'id': 'CKV_AWS_27', 'name': 'Ensure all data stored in the SQS queue is encrypted', 'resource': 'AWS::SQS::Queue.SQSFifoQueue'}]}"
41,We need a CloudFormation template that creates SQS Standard Queue.,groud_truth\template\SQSStandardQueue.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_41_update_3_template_20250226_061650.yaml,TRUE,,,,3,simple,50,100,FALSE,Error: 'user_intent',FALSE,0,"{'total_checks': 1, 'passed_checks': 0, 'failed_checks': 1, 'pass_percentage': 0.0, 'failed_check_details': [{'id': 'CKV_AWS_27', 'name': 'Ensure all data stored in the SQS queue is encrypted', 'resource': 'AWS::SQS::Queue.MyQueue'}]}"
42,"We need a CloudFormation template that creates a VPC, with a pair of public and private subnets, in total three, spread across two Availability Zones. It uses a static AZ Mapping known as RegionMap to ensure that your resources persist in a given Availability Zone if we add or remove zones.",groud_truth\template\FindInMapAZs.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_42_update_2_template_20250226_061800.yaml,TRUE,,,,3,simple,68.18181818,100,FALSE,Error: 'user_intent',TRUE,0,"{'total_checks': 0, 'passed_checks': 0, 'failed_checks': 0, 'pass_percentage': 0, 'failed_check_details': []}"
43,We need a CloudFormation template that creates a S3 bucket with integrated AWS KMS encryption and lifecycle management. The template must include a KMS key alias for simplified key management and tag the bucket for organizational tracking. ,groud_truth\template\lab2.2.4.create.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_43_update_7_template_20250421_155236.yaml,TRUE,,,,7,moderate,100,75,,,FALSE,90.91,"{'total_checks': 11, 'passed_checks': 10, 'failed_checks': 1, 'pass_percentage': 90.91, 'failed_check_details': [{'id': 'CKV_AWS_18', 'name': 'Ensure the S3 bucket has access logging enabled', 'resource': 'AWS::S3::Bucket.EncryptedS3Bucket'}]}"
44,"We need a CloudFormation template that creates a VPC with Managed NAT. Note, you can assume there are four subnets.",groud_truth\template\VPC_With_Managed_NAT_And_Private_Subnet.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_44_update_3_template_20250225_054535.yaml,TRUE,,,,3,simple,65.38461538,100,,,TRUE,0,"{'total_checks': 0, 'passed_checks': 0, 'failed_checks': 0, 'pass_percentage': 0, 'failed_check_details': []}"
45,We need a CloudFormation template that creates an Amazon Data Firehose stream with server-side encryption set using AWS Managed keys and destination error logging enabled to a created Amazon CloudWatch log group and log stream.,groud_truth\template\DataFirehoseDeliveryStream.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_45_update_6_template_20250225_054854.yaml,TRUE,,,,6,moderate,100,100,,,FALSE,83.33,"{'total_checks': 6, 'passed_checks': 5, 'failed_checks': 1, 'pass_percentage': 83.33, 'failed_check_details': [{'id': 'CKV_AWS_158', 'name': 'Ensure that CloudWatch Log Group is encrypted by KMS', 'resource': 'AWS::Logs::LogGroup.FirehoseLogGroup'}]}"
46,"We need a CloudFormation template that creates a resilient Jenkins CI/CD server with automated hardware failure recovery and secure access. The template should deploy Jenkins on an EC2 instance within a VPC, using a static Elastic IP for consistent public access and a security group allowing HTTP/ICMP traffic. It must automatically recover the instance via a CloudWatch alarm if system-level failures occur, ensuring continuity. The solution integrates an IAM role for Systems Manager (SSM) access, enabling secure management without SSH.",groud_truth\template\recovery.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_46_update_2_template_20250421_155453.yaml,TRUE,,,,2,simple,76.47058824,92.85714286,,,FALSE,92.31,"{'total_checks': 13, 'passed_checks': 12, 'failed_checks': 1, 'pass_percentage': 92.31, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.JenkinsSecurityGroup'}]}"
47,"We need a CloudFormation template that creates IAM roles for EC2 instances with restricted read-only access to AWS IAM metadata, which enables them to retrieve and list IAM resources without modification rights. ",groud_truth\template\lab3.1.3.iamrole.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_47_update_1_template_20250421_155756.yaml,TRUE,,,,1,,33.33333333,50,,,TRUE,100,"{'total_checks': 9, 'passed_checks': 9, 'failed_checks': 0, 'pass_percentage': 100.0, 'failed_check_details': []}"
48,"We need a CloudFormation template that creates an AWS Glue ETL job infrastructure. The template should provision an S3 bucket to store Glue scripts and Spark logs, define an IAM role granting AWS Glue permissions to access S3 and execute jobs, and configure a Glue job with version 4.0 using Python scripts from the bucket (gue_scripts/sample_convert.py). ",groud_truth\template\010_resources.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_48_update_3_template_20250422_052235.yaml,TRUE,,,,3,simple,100,100,,,FALSE,89.47,"{'total_checks': 19, 'passed_checks': 17, 'failed_checks': 2, 'pass_percentage': 89.47, 'failed_check_details': [{'id': 'CKV_AWS_18', 'name': 'Ensure the S3 bucket has access logging enabled', 'resource': 'AWS::S3::Bucket.GlueScriptsBucket'}, {'id': 'CKV_AWS_195', 'name': 'Ensure Glue component has a security configuration associated', 'resource': 'AWS::Glue::Job.GlueJob'}]}"
49,We need a CloudFormation template that creates a simple Amazon ECS cluster that is setup for serverless usage with AWS Fargate.,groud_truth\template\ecs_serverless_with_fargate.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_49_update_2_template_20250225_072216.yaml,TRUE,,,,2,simple,100,100,,,TRUE,100,"{'total_checks': 8, 'passed_checks': 8, 'failed_checks': 0, 'pass_percentage': 100.0, 'failed_check_details': []}"
50,"We need a CloudFormation template that creates a scalable URL-to-PNG screenshot service with automated load testing and S3/SQS integration, designed to dynamically process website screenshot requests and store results in a secure, distributed environment. The template should deploy an Auto Scaling group of EC2 instances (workers) across two Availability Zones, configured to consume messages from an SQS queue and generate screenshots using Chromium, saving outputs to an S3 bucket. It must include a load test instance that populates the queue with sample URL requests to simulate traffic, while CloudWatch alarms trigger scaling policies based on queue depth (scaling up/down between 1-2 instances). ",groud_truth\template\url2png-loadtest.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_50_update_4_template_20250421_161655.yaml,TRUE,,,,4,moderate,76.92307692,100,,,FALSE,76,"{'total_checks': 25, 'passed_checks': 19, 'failed_checks': 6, 'pass_percentage': 76.0, 'failed_check_details': [{'id': 'CKV_AWS_18', 'name': 'Ensure the S3 bucket has access logging enabled', 'resource': 'AWS::S3::Bucket.ScreenshotBucket'}, {'id': 'CKV_AWS_21', 'name': 'Ensure the S3 bucket has versioning enabled', 'resource': 'AWS::S3::Bucket.ScreenshotBucket'}, {'id': 'CKV_AWS_27', 'name': 'Ensure all data stored in the SQS queue is encrypted', 'resource': 'AWS::SQS::Queue.ScreenshotQueue'}, {'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.WorkerSecurityGroup'}, {'id': 'CKV_AWS_24', 'name': 'Ensure no security groups allow ingress from 0.0.0.0:0 to port 22', 'resource': 'AWS::EC2::SecurityGroup.WorkerSecurityGroup'}, {'id': 'CKV_AWS_79', 'name': 'Ensure Instance Metadata Service Version 1 is not enabled', 'resource': 'AWS::EC2::LaunchTemplate.WorkerLaunchTemplate'}]}"
51,"We need a CloudFormation template that creates a web server infrastructure with an Application Load Balancer (ALB) and Auto Scaling group, designed to distribute traffic across multiple EC2 instances in different Availability Zones for scalability and fault tolerance. The template must provision EC2 instances via a launch template that installs and configures Apache HTTP Server, ensuring each instance dynamically generates a unique HTML page. The solution enforces security via IAM roles for SSM access, and restricts web server traffic to the ALB. ",groud_truth\template\loadbalancer.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_51_update_12_template_20250421_162527.yaml,TRUE,,,,12,moderate,78.26086957,100,,,FALSE,66.67,"{'total_checks': 21, 'passed_checks': 14, 'failed_checks': 7, 'pass_percentage': 66.67, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.ALBSecurityGroup'}, {'id': 'CKV_AWS_260', 'name': 'Ensure no security groups allow ingress from 0.0.0.0:0 to port 80', 'resource': 'AWS::EC2::SecurityGroup.ALBSecurityGroup'}, {'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.WebServerSecurityGroup'}, {'id': 'CKV_AWS_131', 'name': 'Ensure that ALB drops HTTP headers', 'resource': 'AWS::ElasticLoadBalancingV2::LoadBalancer.ApplicationLoadBalancer'}, {'id': 'CKV_AWS_91', 'name': 'Ensure the ELBv2 (Application/Network) has access logging enabled', 'resource': 'AWS::ElasticLoadBalancingV2::LoadBalancer.ApplicationLoadBalancer'}, {'id': 'CKV_AWS_2', 'name': 'Ensure ALB protocol is HTTPS', 'resource': 'AWS::ElasticLoadBalancingV2::Listener.ALBListener'}, {'id': 'CKV_AWS_103', 'name': 'Ensure that Load Balancer Listener is using at least TLS v1.2', 'resource': 'AWS::ElasticLoadBalancingV2::Listener.ALBListener'}]}"
52,"We need a CloudFormation template that creates a multi-region application failover architecture using Amazon Route 53 Application Recovery Controller (ARC). The template should configure a recovery cluster and control panel, define routing controls for two AWS regions, enforce a safety rule to maintain at least one active region at all times, and set up health checks linked to routing controls for monitoring regional application health. ",groud_truth\template\Route53-ARC-routing-control.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_52_update_8_template_20250422_052920.yaml,TRUE,,,,8,moderate,100,100,,,TRUE,0,"{'total_checks': 0, 'passed_checks': 0, 'failed_checks': 0, 'pass_percentage': 0, 'failed_check_details': []}"
53,"We need a CloudFormation template that creates an AWS EMR Serverless environment. The template should provision an IAM role granting EMR Serverless permissions to interact with S3 and CloudWatch Logs, deploy a private S3 bucket for storing scripts and data, and configure an EMR Serverless application (`emr-6.15.0` Spark) with auto-start/auto-stop features to minimize idle costs.",groud_truth\template\010_emr_serverless.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_53_update_9_template_20250422_053355.yaml,TRUE,,,,9,moderate,100,100,,,FALSE,88.89,"{'total_checks': 18, 'passed_checks': 16, 'failed_checks': 2, 'pass_percentage': 88.89, 'failed_check_details': [{'id': 'CKV_AWS_18', 'name': 'Ensure the S3 bucket has access logging enabled', 'resource': 'AWS::S3::Bucket.EMRServerlessS3Bucket'}, {'id': 'CKV_AWS_111', 'name': 'Ensure IAM policies does not allow write access without constraints', 'resource': 'AWS::IAM::Role.EMRServerlessRole'}]}"
54,"We need a CloudFormation template that creates a centralized Amazon SNS topic with secure cross-service notification capabilities and email subscription, designed to aggregate alerts and events from AWS services into a single channel. ",groud_truth\template\central_alert.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_54_update_4_template_20250422_053534.yaml,TRUE,,,,4,moderate,100,100,,,FALSE,0,"{'total_checks': 1, 'passed_checks': 0, 'failed_checks': 1, 'pass_percentage': 0.0, 'failed_check_details': [{'id': 'CKV_AWS_26', 'name': 'Ensure all data stored in the SNS topic is encrypted', 'resource': 'AWS::SNS::Topic.NotificationTopic'}]}"
55,We need a CloudFormation template that creates a vpc with security group.,groud_truth\template\client_security_group.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_55_update_3_template_20250401_120443.yaml,TRUE,,,,3,simple,100,100,,,FALSE,50,"{'total_checks': 4, 'passed_checks': 2, 'failed_checks': 2, 'pass_percentage': 50.0, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.SecurityGroup'}, {'id': 'CKV_AWS_260', 'name': 'Ensure no security groups allow ingress from 0.0.0.0:0 to port 80', 'resource': 'AWS::EC2::SecurityGroup.SecurityGroup'}]}"
56,"We need a CloudFormation template that creates a secure Amazon Cognito User Pool with administrator-controlled user provisioning and email-based authentication, designed for applications requiring centralized user management. ",groud_truth\template\cognito_userpool.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_56_update_4_template_20250422_053710.yaml,TRUE,,,,4,simple,66.66666667,66.66666667,,,TRUE,0,"{'total_checks': 0, 'passed_checks': 0, 'failed_checks': 0, 'pass_percentage': 0, 'failed_check_details': []}"
57,"We need a CloudFormation template that creates a basic Amazon ECS cluster with configurable monitoring capabilities, designed to serve as a foundational component for containerized workloads. ",groud_truth\template\simple_ecs.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_57_update_6_template_20250422_054142.yaml,TRUE,,,,6,moderate,100,20,,,FALSE,90,"{'total_checks': 10, 'passed_checks': 9, 'failed_checks': 1, 'pass_percentage': 90.0, 'failed_check_details': [{'id': 'CKV_AWS_158', 'name': 'Ensure that CloudWatch Log Group is encrypted by KMS', 'resource': 'AWS::Logs::LogGroup.ECSClusterLogGroup'}]}"
58,"We need a CloudFormation template that creates a scalable and monitored Amazon EFS file system with automated backups and performance safeguards, designed for shared storage in a VPC-based environment. The template must integrate CloudWatch alarms to monitor IO utilization, burst credits, and throughput thresholds for proactive performance management. Automated backups via AWS Backup should be conditionally enabled with a customizable CRON schedule. ",groud_truth\template\efs_file_system.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_58_update_8_template_20250422_054728.yaml,TRUE,,,,8,moderate,58.33333333,77.77777778,,,FALSE,80,"{'total_checks': 5, 'passed_checks': 4, 'failed_checks': 1, 'pass_percentage': 80.0, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.EFSSecurityGroup'}]}"
59,We need a CloudFormation template that creates an Amazon Kinesis Data Stream for real-time data ingestion and processing and alerts for read and write throughput exceeding.,groud_truth\template\kinesis-data-stream.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_59_update_5_template_20250401_121236.yaml,TRUE,,,,5,moderate,100,60,,,FALSE,0,"{'total_checks': 2, 'passed_checks': 0, 'failed_checks': 2, 'pass_percentage': 0.0, 'failed_check_details': [{'id': 'CKV_AWS_43', 'name': 'Ensure Kinesis Stream is securely encrypted', 'resource': 'AWS::Kinesis::Stream.KinesisStream'}, {'id': 'CKV_AWS_26', 'name': 'Ensure all data stored in the SNS topic is encrypted', 'resource': 'AWS::SNS::Topic.AlertTopic'}]}"
60,We need a CloudFormation template that creates an AWS KMS (Key Management Service) Key for centralized encryption management. Remember to include the Alias for the key.,groud_truth\template\kms-key.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_60_update_1_template_20250401_122529.yaml,TRUE,,,,1,,100,100,,,TRUE,100,"{'total_checks': 2, 'passed_checks': 2, 'failed_checks': 0, 'pass_percentage': 100.0, 'failed_check_details': []}"
61,"We need a CloudFormation template that creates a private Amazon Route 53 Hosted Zone?for internal DNS management within a VPC.?Note the domain is: ""www.example.com"".",groud_truth\template\route53-hosted-zone-private.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_61_update_4_template_20250401_122725.yaml,TRUE,,,,4,moderate,100,100,,,TRUE,0,"{'total_checks': 0, 'passed_checks': 0, 'failed_checks': 0, 'pass_percentage': 0, 'failed_check_details': []}"
