row_number,ground_truth_path,prompt
96,Data\groud_truth\template\network-stack.yaml,"We need a CloudFormation template that creates a production-ready VPC network infrastructure with one public and two private subnets, security groups, an internal Application Load Balancer (ALB), and an ECR repository for a containerized application. The template should:

Define a VPC with public subnets (internet-facing via an Internet Gateway) and private subnets (outbound access via a NAT Gateway) across three Availability Zones for high availability.

Configure security groups allowing HTTP/HTTPS, SSH, PostgreSQL, and internal VPC traffic, with broad ingress rules for simplicity during initial setup.

Deploy an internal ALB across private subnets with a default listener (port 80) returning error responses, ready for backend service integration.

Provision a private ECR repository with automated image scanning and store critical resource IDs (VPC, subnets, security groups, ALB listener) in SSM Parameter Store for cross-service referencing."
97,Data\groud_truth\template\organization_data_pipeline.yaml,"We need a CloudFormation template that creates a serverless pipeline to collect, store, and analyze AWS Organization data for centralized governance and reporting. The template should:

Provision an S3 bucket with encryption and strict access controls to store organizational data (accounts, OUs, tags) retrieved from the management account.

Deploy a Lambda function that assumes a cross-account IAM role to fetch AWS Organizations metadata (accounts, hierarchies, tags) on a weekly schedule via CloudWatch Events, writing results to S3 in JSON format.

Configure a Glue crawler to automatically catalog the S3 data into an Athena database (managementcur), enabling SQL-based querying for compliance or auditing.

Use parameterized inputs to customize the target S3 bucket, tags to include in reports, management account ID, and Athena database name.

Ensure secure permissions via IAM roles for Lambda (cross-account STS assume, Organizations read access) and Glue (S3 write access), while exporting resource ARNs for integration with analytics tools.

This template automates organization-wide visibility, centralizes data for audit readiness, and reduces manual data aggregation efforts through serverless orchestration."
98,Data\groud_truth\template\web.yaml,We need a CloudFormation template that creates an AWS Amplify web application with a production branch to host and deploy a TodoApp.
99,Data\groud_truth\template\pattern3-base.yaml,"We need a CloudFormation template that creates a secure, multi-AZ VPC architecture with public/private subnets and NAT Gateway connectivity following AWS Well-Architected security best practices. The template should:

Deploy a VPC with public subnets and private subnets across two Availability Zones (us-east-1a and us-east-1b), ensuring high availability.

Configure dedicated route tables for public/private subnets, enforcing controlled traffic flow (public subnets use IGW directly, private subnets route through NAT Gateway).

Tag all resources with identifiers for cost tracking and governance alignment."
100,Data\groud_truth\template\baseline-iam.yaml,"We need a CloudFormation template that creates a standardized IAM baseline with secure, role-based access controls and cross-account trust configurations for AWS account governance. The template should:

Define IAM groups and roles (e.g., PrivilegedAdmin, RestrictedAdmin, IdentityAdmin) with granular permissions, enforcing MFA requirements for elevated actions and role assumption to enhance security.

Establish cross-account trust relationships for centralized management, allowing trusted accounts (e.g., Identity Management Account, Tooling Management Account) to assume roles while restricting sensitive operations (e.g., billing, CloudHSM) via explicit deny policies.

Provision CloudFormation and StackSet execution roles with controlled permissions for infrastructure-as-code workflows, including template validation and stack management."
101,Data\groud_truth\template\vpc-flow-logs-custom.yaml,"We need a CloudFormation template that creates a VPC with flow logging configured to monitor network traffic patterns. The template should automatically provision an S3 bucket for storing flow logs. The logs must capture specified traffic types and include comprehensive metadata fields. Security requirements include blocking public access to the S3 bucket, enforcing SSL for data transfers, and granting minimal permissions for AWS log delivery services. The solution should support optional log file prefixes for organizational structuring and output the final bucket name for integration with downstream systems. "
102,Data\groud_truth\template\risk_management.yaml,"We need a CloudFormation template that creates a risk management system for AWS workloads, which integrates logging, data storage, and notifications to track and respond to operational risks. The template should provision two AWS Lambda functions that interact with a DynamoDB table to store workload and risk-related data using composite keys (workload_id and question_id). It must define an IAM role granting the Lambda functions permissions to perform DynamoDB operations. Additionally, an SNS Topic is required to enable notifications, with a policy allowing SSM OpsCenter to publish alerts to this topic."
103,Data\groud_truth\template\security-lab-stack.yaml,"We need a CloudFormation template that creates a secure, monitored web application environment in AWS, which includes a PHP/Apache web server, centralized logging, and compliant network infrastructure. The template should provision a VPC with a public subnet, internet gateway, and security group allowing HTTP access to host an EC2 instance running the latest Amazon Linux AMI. The instance must automatically install Apache and PHP, generate a dynamic webpage and enforce IAM roles for CloudWatch monitoring and Systems Manager (SSM) access. An S3 bucket with server-side encryption and restricted public access is required to store CloudWatch logs, configured via bucket policies to allow log ingestion. "
104,Data\groud_truth\template\sample_environment_template.yaml,"We need a CloudFormation template that creates a lab environment for testing EC2 instance scheduling automation, which includes a VPC, managed instances, and an admin instance preconfigured with scheduling tools. The template should provision a VPC with a public subnet, internet gateway, and route tables to enable internet access for EC2 instances. It must deploy five lightweight (t3.nano) EC2 instances tagged for a development environment (`environment: dev`) and a dedicated admin instance that installs the AWS Instance Scheduler CLI via a user data script. The admin instance requires an IAM role with permissions to invoke Lambda functions and interact with CloudFormation, while all instances use SSM for management. Security configurations include a permissive security group (allowing unrestricted outbound traffic) and network isolation through VPC routing. "
105,Data\groud_truth\template\automation_role.yaml,"We need a CloudFormation template that creates an IAM role for cross-service automation workflows, which centralizes permissions for Systems Manager (SSM), EC2, and monitoring tools. "
106,Data\groud_truth\template\bucket_and_notification.yaml,"We need a CloudFormation template that creates an S3 bucket with event-driven notifications to an SNS topic, which automates alerts or workflows when new objects are uploaded. The template should provision an S3 bucket and an SNS topic, then configure the bucket to send notifications to the topic for all s3:ObjectCreated:* events. The SNS topic must include a policy allowing the S3 service to publish messages, restricted to the specific bucket and AWS account to prevent unauthorized access. "
107,Data\groud_truth\template\APIGateway_SQS_ReceiveMessages.yaml,"We need a CloudFormation template that creates a REST API Gateway integrated with an SQS queue to enable HTTP-based retrieval of messages, which simplifies polling for messages via a web endpoint. The template should provision an API Gateway with a GET method that maps to the SQS ReceiveMessage action, using AWS service integration to forward query parameters to SQS. It must configure an SQS queue with a policy allowing API Gateway to invoke ReceiveMessage, along with an IAM role granting the API Gateway permission to interact with the queue. "
108,Data\groud_truth\template\cognito_sample.yaml,"We need a CloudFormation template that creates a secure AWS Cognito user management system for applications while enforcing admin-managed user provisioning. The template should provision a Cognito User Pool with email verification, a customizable password policy and a preconfigured domain for hosted login pages. It must support OAuth flows and authentication methods like password-based and refresh token auth."
109,Data\groud_truth\template\mongoDB.yaml,"We need a CloudFormation template that creates an event-driven integration between AWS EventBridge and a MongoDB API endpoint, which routes application events to MongoDB for processing or logging. The template should provision an EventBridge event bus to capture custom events and configure an API destination using a MongoDB URL secured via API key authentication. It must define a connection with API key parameters (name and value) and an IAM role allowing EventBridge to invoke the MongoDB API endpoint. A dead-letter SQS queue is required to handle failed event deliveries, ensuring fault tolerance. For the MongoDBURL, you may use 'www.testanu.com'. For the ApiKeyName and ApiKeyValue you may use 'test_name' and 'test_value'."
110,Data\groud_truth\template\crossAccResources.yaml,"We need a CloudFormation template that creates a cross-account private API Gateway integrated with a Lambda function, which enforces secure access via a VPC endpoint and custom domain. The template should provision a private API Gateway (configured to allow access only from a specified VPC endpoint ID) with a Lambda backend that returns a simple response. It must include IAM roles for Lambda execution (with basic CloudWatch logging permissions) and API Gateway-to-Lambda invocation policies. The API Gateway is deployed with a custom domain name and a stage, ensuring controlled access through VPC endpoint restrictions. "
111,Data\groud_truth\template\DataDogApiDestination.yaml,"We need a CloudFormation template that creates an EventBridge integration with DataDog for centralized log forwarding, which automates the delivery of application logs to DataDog's API. The template should provision an EventBridge event bus to capture events from a specified source (MyDataDogApp) and configure an API destination targeting DataDog's log ingestion endpoint (https://http-intake.logs.datadoghq.com). It must define a secure connection using a DataDog API key (testanu) for authentication and an IAM role granting EventBridge permissions to invoke the API destination. A dead-letter SQS queue is included to handle failed log deliveries, ensuring fault tolerance. "
112,Data\groud_truth\template\sns-sqs.yaml,"We need a CloudFormation template that creates an S3 bucket with an SQS queue for event-driven object upload notifications. The template should provision an S3 bucket and an SQS queue, then configure the bucket to send notifications to the queue for all s3:ObjectCreated:* events. "
113,Data\groud_truth\template\sns_with_events.yaml,"We need a CloudFormation template that creates an EventBridge rule with an SNS topic. The template should provision an SNS topic and an EventBridge rule that matches events from a predefined source (demo.cli). It must configure the EventBridge rule to forward matched events to the SNS topic, along with a topic policy granting EventBridge permissions to publish messages. "
114,Data\groud_truth\template\b2bi.yaml,"We need a CloudFormation template that creates an AWS B2B Data Interchange (B2BI) pipeline for transforming EDI X12_214 documents into JSON, which automates electronic data interchange workflows for business partners. The template should provision a B2BI profile with business contact details (name, email, phone) and a transformer resource defining the mapping logic to convert EDI transactions into structured JSON. It must configure an input S3 bucket to receive raw EDI files and an output S3 bucket to store transformed JSON data. "
115,Data\groud_truth\template\sns-secretsmanager.yaml,"We need a CloudFormation template that creates an automated monitoring and alerting system for AWS Secrets Manager activities, which sends email notifications for critical secret lifecycle events. The template should provision an EventBridge rule to detect Secrets Manager API calls and route these events to an SNS topic. "
116,Data\groud_truth\template\sns_with_sqs.yaml,"We need a CloudFormation template that creates an SNS-to-SQS fanout system with filtered message routing, which enables scalable and selective message processing for different metric types (e.g., temperature, humidity). The template should provision a central SNS topic and three SQS queues: one for **all metrics**, and two filtered queues (`TemperatureSqsQueue`, `HumiditySqsQueue`) that receive only messages tagged with specific attributes (`MetricType: Temperature` or `Humidity`). Each queue includes a dead-letter queue to handle message processing failures. "
117,Data\groud_truth\template\DynamoDB_to_EventBridge.yaml,"We need a CloudFormation template that creates an event-driven integration between DynamoDB streams and EventBridge, which routes real-time database changes (inserts and updates) to a centralized event bus for downstream processing. The template should provision a DynamoDB table with streaming enabled to capture item modifications, an EventBridge event bus, and two EventBridge Pipes to filter and forward specific events (e.g., `INSERT` for new orders, `MODIFY` for updates) to the bus. "
118,Data\groud_truth\template\EventBridge_Pipes_with_API_destinations.yaml,"We need a CloudFormation template that creates an EventBridge Pipes workflow to enrich SQS messages with external API data and log results, which automates data augmentation and monitoring for event-driven systems. The template should provision an SQS queue as the event source, an API destination (https://api.zippopotam.us/us/*), and a CloudWatch Log Group as the target. It must define an IAM role granting EventBridge Pipes permissions to read messages from SQS, invoke the API destination, and write enriched logs to CloudWatch. The EventBridge Pipe enriches messages by dynamically appending API data (e.g., fetching location details using a zip code from the message body) before forwarding results to logs. "
119,Data\groud_truth\template\event-kinesis.yaml,"We need a CloudFormation template that creates an EventBridge-to-Kinesis integration for real-time event streaming, which routes application-generated events to a Kinesis data stream for scalable processing or analytics. The template should provision an EventBridge event bus to capture events from a defined source (`my-application`), a Kinesis stream to ingest and buffer these events, and an IAM role granting EventBridge permissions to publish records to Kinesis. "
120,Data\groud_truth\template\sqs-pipes-batch-service.yaml,"We need a CloudFormation template that creates an event-driven AWS Batch job processing pipeline integrated with SQS and EventBridge Pipes, which automates the execution of containerized tasks in response to specific messages (e.g., ""OrderCreated""). The template should provision an SQS queue as the event source, an AWS Batch environment with a job queue and job definition, and an EventBridge Pipe to filter messages and trigger Batch jobs. Security configurations include IAM roles for Batch, Pipes, and ECS execution, along with VPC private subnets and security groups to isolate compute resources. "
121,Data\groud_truth\template\eventbridge-schedule-to-ssm.yaml,"We need a CloudFormation template that creates a scheduled automation workflow using EventBridge Scheduler and AWS Systems Manager (SSM), which executes cross-platform scripts on tagged EC2 instances at regular intervals. The template should provision Linux and Windows EC2 instances (with SSM agent roles), an SSM document defining OS-specific commands (e.g., echoing ""Hello World!""), and an SSM State Manager Association to target instances tagged with `HelloWorld: true`. It must configure an EventBridge Schedule to trigger the SSM Association every 15 minutes, using an IAM role with permissions to invoke SSM actions. Security requirements include IAM roles for EC2 instances (with SSM/S3 access) and EventBridge, along with an S3 bucket to store execution logs. Outputs provide instance IDs, log bucket name, and schedule ARN for monitoring. "
122,Data\groud_truth\template\ShopifyAPIDestination.yaml,"We need a CloudFormation template that creates an EventBridge integration with Shopify's product creation API, which automates product updates in Shopify based on application events. The template should provision an EventBridge event bus to capture events from a specified source (`MyShopifyApp`), configure an API destination targeting Shopify's product creation endpoint, and authenticate requests using a Shopify admin API key (provided as a parameter). The name for the myshopify shop is testanu."
123,Data\groud_truth\template\stripe.yaml,"We need a CloudFormation template that creates an EventBridge integration with Stripe's product API, which automates product creation in Stripe based on application events. The template should provision an EventBridge event bus to capture events from a specified source (`PartnerApp` with `PartnerAppDetailType`), configure an API destination targeting Stripe's endpoint (https://api.stripe.com/v1/products), and authenticate requests using an API key (provided via parameters) in the `Authorization` header. "
124,Data\groud_truth\template\api_with_dynamoDB.yaml,"We need a CloudFormation template that creates a secure REST API Gateway integrated with Amazon DynamoDB for managing music data, which enables CRUD operations (Create/Read) through HTTP endpoints. The template should provision a DynamoDB table (`Music`) with a global secondary index (`Artist-Index`) for querying by artist, and an API Gateway with two methods: a **POST** endpoint to add music entries (artist, album) and a **GET** endpoint to retrieve entries by artist. Security requirements include API key authentication, IAM roles for API Gateway to access DynamoDB, and a usage plan with rate limiting/throttling to control traffic."
125,Data\groud_truth\template\apigateway_ses.yaml,"We need a CloudFormation template that creates a secure REST API Gateway integrated with Amazon Simple Email Service (SES), which enables sending templated emails via HTTP endpoints while enforcing validation and rate limits. The template should provision an API Gateway with a POST method that transforms JSON payloads (containing `to`, `from`, `subject`, `text/html` content, etc.) into SES-compatible form data. It must configure an IAM role granting API Gateway permissions to invoke SES's `SendEmail` action and include request validation to ensure payloads adhere to a defined JSON schema. Security requirements include API key authentication, a usage plan with throttling (500 requests/second) and monthly quotas (10,000 requests), and encrypted API key handling. "
126,Data\groud_truth\template\apigateway_kinesis.yaml,"We need a CloudFormation template that creates a REST API Gateway integrated with Amazon Kinesis Data Streams, which enables HTTP-based interaction for ingesting and retrieving streaming data without direct AWS SDK dependencies. The template should provision a Kinesis stream and an API Gateway with endpoints to PUT records (single or batch), GET records via shard iterators, and manage stream metadata. Security configurations include an IAM role granting API Gateway permissions to perform Kinesis actions (`PutRecord`, `GetRecords`, etc.). The API transforms incoming HTTP requests into Kinesis-compatible formats (e.g., base64 encoding data, handling partition keys) and routes them to the specified stream."
127,Data\groud_truth\template\efs_easy.yaml,"We need a CloudFormation template that creates an Amazon EFS file system with basic configurations for a testing environment, which establishes a shared storage solution in us-east-1a. "
128,Data\groud_truth\template\securityhub-controls.yaml,"We need a CloudFormation template that creates an automated solution for managing AWS Security Hub controls, which selectively disables specific compliance checks (CIS Benchmarks and AWS Foundational Security Best Practices) to tailor security monitoring to organizational requirements. The template deploys a Lambda function that programmatically updates Security Hub controls via the AWS SDK, enabling or disabling them based on user-provided parameters (e.g., `DisableCIS140Controls`). Security configurations include IAM roles with optional permissions boundaries and CloudWatch Logs retention policies. "
129,Data\groud_truth\template\config.yaml,"We need a CloudFormation template that creates a secure and compliant AWS Config setup with customizable retention policies and delivery configurations, which automates resource configuration tracking and audit logging across an AWS account. The template provisions an S3 bucket (or integrates with an existing one) to store configuration snapshots, an SNS topic for notifications, and configures AWS Config to record all resource changes with global coverage. Security measures include enforcing SSL for S3 bucket access, blocking public access, and optional IAM permission boundaries. A Lambda function dynamically manages retention periods (via custom resource) to align with compliance requirements (default: 2557 days) and adjusts delivery frequency (e.g., hourly/daily snapshots). "
130,Data\groud_truth\template\account-password-policy.yaml,"We need a CloudFormation template that creates and manages an AWS account-wide IAM password policy with customizable security requirements, which enforces strong authentication practices for IAM users. The template configures parameters such as minimum password length (default: 14), mandatory character types (uppercase, lowercase, numbers, symbols), password expiration (e.g., 90 days), reuse prevention (e.g., 24 previous passwords), and self-service password changes. Security configurations include a Lambda function to dynamically apply/remove the policy via AWS SDK and optional IAM permission boundaries. "
131,Data\groud_truth\template\alert.yaml,"We need a CloudFormation template that creates a centralized alerting system using Amazon SNS, which aggregates notifications from multiple AWS services (e.g., CloudWatch Alarms, RDS, S3, Budgets) and routes them to configurable endpoints like email, HTTP/HTTPS URLs, or a fallback email for delivery failures. The template provisions an SNS topic with a policy allowing authorized AWS services to publish alerts, along with subscriptions for user-defined endpoints (email, webhooks) and retry policies for HTTP(S) targets. A CloudWatch Alarm monitors failed notifications and triggers a fallback SNS topic to ensure redundancy. Note the email and httpsendpoints may not be provided, so consider add conditions."
132,Data\groud_truth\template\batch-demo.template.yaml,"We need a CloudFormation template that creates an AWS Batch environment for executing containerized batch jobs, which automates infrastructure setup for scalable data processing tasks (e.g., S3 file operations). The template provisions a VPC with a subnet, an S3 bucket for input/output data, and configures AWS Batch components: a compute environment (EC2-based, with `m5.large` instances), a job queue, and a job definition using a Docker image (default: `amazonlinux`). The job definition includes a sample script that installs the AWS CLI, copies an S3 object, and re-uploads it, demonstrating basic workflow automation. "
133,Data\groud_truth\template\arch7-lab1.template.yaml,"We need a CloudFormation template that creates a self-contained web server environment in AWS, which provisions a VPC, subnet, security group, and an EC2 instance preconfigured with Apache, PHP, and sample web content. The template deploys a `t2.micro` instance using the latest Amazon Linux AMI, configures HTTP access via a security group, and automates software installation/content deployment via a user data script. The instance retrieves a ZIP file from S3, unzips it into the web root, and hosts the content. "
134,Data\groud_truth\template\lambda-demo.yaml,"We need a CloudFormation template that creates a basic AWS Lambda function. The template provisions a Lambda function with inline Node.js code that logs event details and returns a value from the input, along with an IAM role granting permissions to write logs to CloudWatch. "
135,Data\groud_truth\template\cloudfront-demo-api.yaml,"We need a CloudFormation template that creates a CloudFront distribution which fronts a regional API Gateway REST API with a mock backend. The solution should define an API Gateway with a `/hello` GET endpoint returning a static ""hello world"" JSON response.  Configure CloudFront to route requests to the API Gateway's production stage, disabling caching to ensure real-time responses. Ensure the CloudFront distribution uses HTTPS for origin communication and enforces HTTPS redirection for end users.  "
136,Data\groud_truth\template\permission-boundary-demo.yaml,"We need a CloudFormation template that creates an IAM role with configurable permission boundaries which enforces governance controls for developer-created IAM resources. The solution should create a role with broad IAM privileges but conditionally apply permission boundaries to limit unintended escalation of permissions. Allow developers to create/modify roles and policies only if they adhere to naming prefixes (e.g., `MyTeam*`), mandatory `Owner` tags, and include a permission boundary policy. Provide a toggle parameter to enable/disable strict boundary enforcement, switching between permissive and restricted IAM policies. Define a default permission boundary policy that restricts actions to S3 and read-only IAM operations, overriding any permissions of roles created by developers. Ensure all developer-managed IAM resources are tagged with a team-specific `Owner` tag for accountability and resource tracking. "
137,Data\groud_truth\template\appsync-demo.yaml,"We need a CloudFormation template that creates an AppSync GraphQL API with a Lambda backend which provides a serverless pet inventory query service. The solution should deploy a Lambda function returning mock pet data (ID, name, type) as a static dataset. Define an AppSync GraphQL API (`PetShopAPI`) with API_KEY authentication for anonymous access and a schema supporting a `getPets` query to fetch pet details. Configure IAM roles for Lambda execution and AppSync-to-Lambda invocation, ensuring least privilege. Link the AppSync resolver to the Lambda data source using request/response mapping templates to transform the Lambda output into the GraphQL schema format.  "
138,Data\groud_truth\template\arch-lab1-demo.yaml,"We need a CloudFormation template that creates a web application environment with integrated S3, DynamoDB, and EC2 resources. The solution should deploy an EC2 instance in a VPC with public subnet access, configured with Apache/PHP and preloaded lab files to serve a web application. Create an S3 bucket to host static assets (images, jQuery libraries) and a DynamoDB table (`AWS-Services`) with composite keys for structured data storage.  Attach an IAM role to the EC2 instance granting full S3 and DynamoDB access, enabling automated asset uploads and database population via UserData scripts. Automate application setup during instance bootstrapping, including PHP/AWS SDK installation, dynamic region/bucket configuration, and DynamoDB data ingestion from JSON files. "
139,Data\groud_truth\template\custom-resource-example.yaml,"We need a CloudFormation template that creates a custom resource using AWS Lambda which demonstrates dynamic parameter processing and controlled success/failure scenarios during stack operations. The solution should deploy a Lambda function to perform arithmetic operations (addition, subtraction, multiplication, division) based on user-provided parameters (`FirstNumber`, `SecondNumber`, `Operator`). Implement a conditional failure mechanism via a parameter to simulate custom resource errors for testing purposes. Define a `Custom::helper` resource that invokes the Lambda during stack creation/updates and propagates calculation results to CloudFormation outputs. "
140,Data\groud_truth\template\stepfunction-calculator.yaml,"We need a CloudFormation template that creates a serverless calculator workflow using AWS Step Functions and Lambda which processes arithmetic operations based on dynamic input. The solution should define a Step Functions state machine (`Calculator-StateMachine`) with a choice state to route requests to the appropriate arithmetic operation (add, subtract, multiply, divide) or fail for unsupported operators. It should deploy a Lambda function (`Calculator`) to execute calculations using input parameters (`operator` and `operands`), returning results to the workflow. Configure a CloudWatch Logs group for the Lambda function to retain logs for 3 days, simplifying debugging and cleanup.  "
141,Data\groud_truth\template\stepfunction-recognition.yaml,"We need a CloudFormation template that creates an automated image recognition pipeline using Step Functions, S3, and Amazon Rekognition which triggers SMS alerts when human faces are detected in uploaded images. The solution should deploy an S3 bucket with EventBridge notifications enabled to detect image uploads and initiate a Step Functions workflow. Define a Step Functions state machine that validates image file extensions, invokes Amazon Rekognition to detect ""Human"" or ""Person"" labels, and sends SMS alerts via SNS if detected, using a phone number (+14071113333`).  Configure IAM roles for EventBridge (to trigger Step Functions) and the state machine (to access S3, Rekognition, and SNS), ensuring least-privilege permissions. Include a custom Lambda resource to empty the S3 bucket during stack deletion, avoiding retention conflicts.  "
142,Data\groud_truth\template\systems-manager-demo.yaml,"We need a CloudFormation template that creates EC2 instances managed by AWS Systems Manager (SSM). The solution should deploy Auto Scaling Groups with launch templates for both Linux (Amazon Linux 2) and Windows instances, using SSM Parameter Store to fetch the latest AMIs dynamically. Configure a VPC with public subnets, internet gateway, and security groups to allow HTTP access and ensure instances are network-accessible for SSM operations. Attach IAM roles (`SSMRole`) with `AmazonEC2RoleforSSM` policy to instances, granting permissions for SSM agent communication and management tasks (e.g., Run Command, Patch Manager). Automate SSM agent installation on Linux instances via user data scripts, while leveraging pre-configured SSM integration for Windows AMIs. "
143,Data\groud_truth\template\arch7-lab6.yaml,"We need a CloudFormation template that creates a secure static website hosted on S3 with CloudFront CDN integration which automates content deployment and cleanup. The solution should deploy an S3 bucket configured with public read access for CloudFront via an Origin Access Identity (OAI), ensuring secure content delivery without exposing the bucket directly to the internet. Create a CloudFront distribution with HTTPS enforcement, caching disabled, and integration with the S3 bucket to serve static content globally.  Use a custom Lambda resource to automatically populate the S3 bucket with a default `index.html` file during stack creation and empty the bucket during stack deletion, avoiding retention conflicts.  "
144,Data\groud_truth\template\arch7-lab2.yaml,"We need a CloudFormation template that creates a multi-tier AWS network environment with secure public/private subnets and SSM-managed EC2 instances. The solution should deploy a VPC with two public and private subnets, NAT Gateway, and route tables to enable internet access for private instances while isolating backend resources. Launch EC2 instances in both subnets: a public instance (`PublicInstance`) hosting a web server (Apache/PHP) and a private instance (`PrivateInstance`), both managed via AWS Systems Manager using IAM roles with `AmazonSSMManagedInstanceCore` policy. Configure security groups to restrict traffic: public instances allow HTTP access globally, while private instances only permit HTTPS from the public security group.  "
145,Data\groud_truth\template\cloudfront-demo.yaml,"We need a CloudFormation template that creates a secure static website hosted on S3 with CloudFront CDN integration and automated content management which enforces HTTPS and optimizes caching. The solution should deploy an S3 bucket configured with Origin Access Control to securely grant CloudFront read access to objects, replacing legacy OAI methods. Create a CloudFront distribution with a custom cache policy (60-second default TTL, HTTPS enforcement) and integration with the S3 bucket for global content delivery. Automate bucket initialization via a Lambda custom resource that deploys a default `index.html` file during stack creation and empties the bucket during deletion to avoid retention conflicts.  "
146,Data\groud_truth\template\adv-dev-lab3.yaml,"We need a CloudFormation template that creates an automated image analysis pipeline using S3, Lambda, Step Functions, and Rekognition which triggers SMS alerts when human faces are detected in uploaded images. The solution should deploy an S3 bucket configured to trigger a Lambda function on object upload, initiating a Step Functions workflow for image processing. Define a Step Functions state machine to orchestrate Rekognition-based human detection via lambda function and SMS notifications via  lambda function, conditioned on analysis results. Configure IAM roles and policies to resolve circular dependencies between S3 event notifications and Lambda permissions, ensuring secure cross-service communication (S3, Lambda, Step Functions, Rekognition/SNS). Integrate Amazon SNS to send alerts to a phone number when human labels are detected, using least-privilege access for Lambda execution roles.  "
147,Data\groud_truth\template\slot-machine-website.yaml,"We need a CloudFormation template that creates a serverless slot machine web application with automated content deployment and anonymous user access which integrates S3, Lambda, and deploy an S3 bucket configured as a static website hosting slot machine assets (HTML, CSS, images) with public read access. Implement a Lambda function to simulate slot spins, returning randomized results and determining wins based on predefined card combinations. Use Cognito Identity Pool to grant unauthenticated users temporary AWS credentials, allowing frontend JavaScript to securely invoke the Lambda via IAM roles and policies. Automate website setup via a custom Lambda resource that downloads a pre-built ZIP file, injects Cognito/region configurations into the frontend code, and uploads content to S3 during stack deployment. Configure IAM roles to enforce least privilege: one for Lambda execution (with logging permissions) and another for Cognito identities (allowing only `lambda:InvokeFunction`).  Cognito for seamless gameplay. The solution should"
148,Data\groud_truth\template\multiaz.yaml,"We need a CloudFormation template that creates a Jenkins server deployment across multiple Availability Zones using AWS Auto Scaling. The template should deploy Jenkins on EC2 instances within a VPC, spread across two public subnets for redundancy. It must automate Jenkins installation and configuration via a launch template. The solution should use an Auto Scaling Group to ensure at least one instance is always running, while integrating IAM roles for Systems Manager (SSM) access. Networking components like internet gateways, route tables, and NACLs ensure public accessibility and traffic control. ."
149,Data\groud_truth\template\efs.yaml,"We need a CloudFormation template that creates an Amazon EFS file system with automated monitoring and cross-AZ EC2 instance integration, designed for shared storage and centralized data access across multiple Availability Zones. The template should deploy an encrypted EFS file system with mount targets in two public subnets. It must provision two EC2 instances (in separate AZs) with IAM roles granting EFS access and Systems Manager (SSM) permissions for secure management. The instances should automatically mount the EFS file system to `/home` during bootstrapping, ensuring data persistence and synchronization. CloudWatch alarms monitor EFS performance metrics to preemptively detect capacity or performance issues. "
150,Data\groud_truth\template\redis-minimal.yaml,We need a CloudFormation template that creates a minimal Redis caching solution with secure EC2 instance access via AWS Systems Manager (SSM) which integrates ElastiCache and EC2 for a managed in-memory data store. The solution should deploy a Redis ElastiCache cluster in a VPC using two subnets. Launch an EC2 instance in a public subnet with SSM-enabled IAM roles. 
151,Data\groud_truth\template\bedrock-agent.yaml,"We need a CloudFormation template that creates an AWS Bedrock Agent integrated with a Lambda function which provides automated stock price lookup capabilities using a foundational AI model. The solution should deploy a Lambda function returning a hard-coded stock price (e.g., 100) as a placeholder for future business logic integration. Define a Bedrock Agent configured with a specified foundational model (e.g., Claude 3 Sonnet) and instructions to handle stock-related queries via a custom `getStockPrice` action.  Establish IAM roles for Lambda execution (with logging permissions) and Bedrock Agent operations (including `bedrock:InvokeModel` access), ensuring secure service-to-service communication. Link the Bedrock Agent to the Lambda function through an action group with parameterized schema support for stock symbol inputs.  "
152,Data\groud_truth\template\template-rds-proxy.yaml,"We need a CloudFormation template that creates a secure, scalable Amazon Aurora MySQL cluster with RDS Proxy integration, which optimizes database connection management and enhances availability for serverless or high-concurrency workloads. The template should provision a VPC with private subnets across multiple Availability Zones, an Aurora MySQL cluster (with primary and reader instances), and an RDS Proxy to pool and manage connections. Security configurations include encrypted storage, IAM database authentication, Secrets Manager for credential management, and security groups restricting access to authorized resources (e.g., Lambda functions via a dedicated security group). The RDS Proxy is configured with TLS enforcement, IAM roles for secure secret retrieval, and connection pooling settings to prevent overload. Additional features include CloudWatch logging, enhanced monitoring, and performance insights for observability."
