resource,service,total_props,required_props,required_names
AWS::WorkSpaces::Workspace,WorkSpaces,8,3,"BundleId, DirectoryId, UserName"
AWS::DataZone::EnvironmentBlueprintConfiguration,DataZone,9,3,"EnabledRegions, EnvironmentBlueprintIdentifier, DomainIdentifier"
AWS::WorkSpacesWeb::IdentityProvider,WorkSpacesWeb,5,3,"IdentityProviderDetails, IdentityProviderName, IdentityProviderType"
AWS::DataZone::Environment,DataZone,13,3,"ProjectIdentifier, Name, DomainIdentifier"
AWS::DataZone::DomainUnit,DataZone,4,3,"ParentDomainUnitIdentifier, DomainIdentifier, Name"
AWS::WorkSpacesWeb::NetworkSettings,WorkSpacesWeb,4,3,"VpcId, SecurityGroupIds, SubnetIds"
AWS::WorkspacesInstances::VolumeAssociation,WorkspacesInstances,4,3,"VolumeId, WorkspaceInstanceId, Device"
AWS::DataSync::LocationHDFS,DataSync,15,3,"NameNodes, AgentArns, AuthenticationType"
AWS::DirectConnect::Lag,DirectConnect,7,3,"ConnectionsBandwidth, LagName, Location"
AWS::VpcLattice::Rule,VpcLattice,7,3,"Action, Priority, Match"
AWS::EC2::TransitGatewayMulticastDomainAssociation,EC2,3,3,"TransitGatewayMulticastDomainId, SubnetId, TransitGatewayAttachmentId"
AWS::VpcLattice::ResourceGateway,VpcLattice,7,3,"VpcIdentifier, SubnetIds, Name"
AWS::EC2::TransitGatewayMeteringPolicyEntry,EC2,12,3,"MeteredAccount, PolicyRuleNumber, TransitGatewayMeteringPolicyId"
AWS::EC2::TransitGatewayAttachment,EC2,5,3,"TransitGatewayId, VpcId, SubnetIds"
AWS::SecurityHub::Insight,SecurityHub,3,3,"Filters, GroupByAttribute, Name"
AWS::SecurityHub::PolicyAssociation,SecurityHub,3,3,"ConfigurationPolicyId, TargetType, TargetId"
AWS::GameLift::GameServerGroup,GameLift,12,3,"GameServerGroupName, InstanceDefinitions, RoleArn"
AWS::ServiceCatalog::LaunchNotificationConstraint,ServiceCatalog,5,3,"NotificationArns, PortfolioId, ProductId"
AWS::EC2::RouteServerPeer,EC2,4,3,"PeerAddress, BgpOptions, RouteServerEndpointId"
AWS::ServiceCatalog::LaunchTemplateConstraint,ServiceCatalog,5,3,"PortfolioId, ProductId, Rules"
AWS::EC2::NetworkInterfacePermission,EC2,3,3,"AwsAccountId, NetworkInterfaceId, Permission"
AWS::EC2::NetworkInterfaceAttachment,EC2,6,3,"InstanceId, DeviceIndex, NetworkInterfaceId"
AWS::ServiceCatalog::ResourceUpdateConstraint,ServiceCatalog,5,3,"TagUpdateOnProvisionedProduct, PortfolioId, ProductId"
AWS::ServiceCatalog::ServiceAction,ServiceCatalog,5,3,"Definition, DefinitionType, Name"
AWS::ServiceCatalog::ServiceActionAssociation,ServiceCatalog,3,3,"ServiceActionId, ProductId, ProvisioningArtifactId"
AWS::EC2::ClientVpnRoute,EC2,4,3,"ClientVpnEndpointId, TargetVpcSubnetId, DestinationCidrBlock"
AWS::ServiceCatalogAppRegistry::ResourceAssociation,ServiceCatalogAppRegistry,3,3,"Resource, ResourceType, Application"
AWS::Shield::ProtectionGroup,Shield,6,3,"Aggregation, Pattern, ProtectionGroupId"
AWS::EC2::ClientVpnEndpoint,EC2,20,3,"AuthenticationOptions, ServerCertificateArn, ConnectionLogOptions"
AWS::EC2::CapacityReservation,EC2,15,3,"InstanceCount, InstancePlatform, InstanceType"
AWS::EC2::CapacityManagerDataExport,EC2,5,3,"Schedule, OutputFormat, S3BucketName"
AWS::DocDB::DBClusterParameterGroup,DocDB,5,3,"Description, Parameters, Family"
AWS::DirectoryService::SimpleAD,DirectoryService,9,3,"VpcSettings, Size, Name"
AWS::DirectoryService::MicrosoftAD,DirectoryService,7,3,"Name, Password, VpcSettings"
AWS::Transfer::User,Transfer,10,3,"Role, ServerId, UserName"
AWS::S3Outposts::Endpoint,S3Outposts,6,3,"OutpostId, SecurityGroupId, SubnetId"
AWS::Route53Resolver::OutpostResolver,Route53Resolver,5,3,"OutpostArn, PreferredInstanceType, Name"
AWS::S3Outposts::AccessPoint,S3Outposts,4,3,"Bucket, VpcConfiguration, Name"
AWS::QuickSight::Analysis,QuickSight,14,3,"Name, AnalysisId, AwsAccountId"
AWS::MediaPackageV2::ChannelPolicy,MediaPackageV2,3,3,"Policy, ChannelName, ChannelGroupName"
AWS::Pinpoint::EmailChannel,Pinpoint,7,3,"FromAddress, ApplicationId, Identity"
AWS::MediaLive::Multiplex,MediaLive,5,3,"MultiplexSettings, AvailabilityZones, Name"
AWS::Pinpoint::EventStream,Pinpoint,3,3,"ApplicationId, DestinationStreamArn, RoleArn"
AWS::MediaConnect::Gateway,MediaConnect,3,3,"Networks, EgressCidrBlocks, Name"
AWS::Pipes::Pipe,Pipes,13,3,"RoleArn, Source, Target"
AWS::MediaConnect::FlowSource,MediaConnect,16,3,"Description, Name, FlowArn"
AWS::MediaConnect::BridgeOutput,MediaConnect,3,3,"BridgeArn, NetworkOutput, Name"
AWS::MediaConnect::Bridge,MediaConnect,7,3,"PlacementArn, Sources, Name"
AWS::QBusiness::Plugin,QBusiness,8,3,"Type, DisplayName, AuthConfiguration"
AWS::MSK::ServerlessCluster,MSK,4,3,"VpcConfigs, ClusterName, ClientAuthentication"
AWS::QuickSight::Dashboard,QuickSight,15,3,"DashboardId, Name, AwsAccountId"
AWS::GlobalAccelerator::Listener,GlobalAccelerator,4,3,"PortRanges, AcceleratorArn, Protocol"
AWS::RAM::Permission,RAM,4,3,"ResourceType, PolicyTemplate, Name"
AWS::M2::Environment,M2,14,3,"Name, EngineType, InstanceType"
AWS::M2::Deployment,M2,3,3,"EnvironmentId, ApplicationVersion, ApplicationId"
AWS::RDS::DBClusterParameterGroup,RDS,5,3,"Description, Parameters, Family"
AWS::Logs::SubscriptionFilter,Logs,9,3,"FilterPattern, LogGroupName, DestinationArn"
AWS::Logs::MetricFilter,Logs,7,3,"MetricTransformations, FilterPattern, LogGroupName"
AWS::RDS::DBProxyEndpoint,RDS,7,3,"DBProxyEndpointName, DBProxyName, VpcSubnetIds"
AWS::RDS::OptionGroup,RDS,6,3,"OptionGroupDescription, MajorEngineVersion, EngineName"
AWS::RTBFabric::Link,RTBFabric,7,3,"LinkLogSettings, PeerGatewayId, GatewayId"
AWS::RTBFabric::OutboundExternalLink,RTBFabric,5,3,"LinkLogSettings, PublicEndpoint, GatewayId"
AWS::RTBFabric::RequesterGateway,RTBFabric,5,3,"VpcId, SubnetIds, SecurityGroupIds"
AWS::Pinpoint::BaiduChannel,Pinpoint,4,3,"SecretKey, ApiKey, ApplicationId"
AWS::Pinpoint::ADMChannel,Pinpoint,4,3,"ClientSecret, ClientId, ApplicationId"
AWS::Panorama::PackageVersion,Panorama,6,3,"PatchVersion, PackageId, PackageVersion"
AWS::MediaTailor::Channel,MediaTailor,9,3,"ChannelName, Outputs, PlaybackMode"
AWS::Organizations::Policy,Organizations,6,3,"Type, Content, Name"
AWS::OpsWorks::App,OpsWorks,12,3,"Name, StackId, Type"
AWS::OpenSearchServerless::VpcEndpoint,OpenSearchServerless,4,3,"VpcId, SubnetIds, Name"
AWS::OpenSearchServerless::SecurityPolicy,OpenSearchServerless,4,3,"Policy, Type, Name"
AWS::OpenSearchServerless::LifecyclePolicy,OpenSearchServerless,4,3,"Policy, Type, Name"
AWS::OpenSearchServerless::AccessPolicy,OpenSearchServerless,4,3,"Policy, Type, Name"
AWS::PCAConnectorAD::Connector,PCAConnectorAD,4,3,"CertificateAuthorityArn, DirectoryId, VpcInformation"
AWS::PCAConnectorAD::Template,PCAConnectorAD,5,3,"ConnectorArn, Definition, Name"
AWS::NetworkManager::VpcAttachment,NetworkManager,8,3,"SubnetArns, CoreNetworkId, VpcArn"
AWS::NetworkManager::LinkAssociation,NetworkManager,3,3,"GlobalNetworkId, DeviceId, LinkId"
AWS::NetworkManager::Link,NetworkManager,7,3,"SiteId, GlobalNetworkId, Bandwidth"
AWS::NetworkManager::DirectConnectGatewayAttachment,NetworkManager,7,3,"CoreNetworkId, EdgeLocations, DirectConnectGatewayArn"
AWS::NetworkManager::CustomerGatewayAssociation,NetworkManager,4,3,"GlobalNetworkId, DeviceId, CustomerGatewayArn"
AWS::NetworkManager::CoreNetworkPrefixListAssociation,NetworkManager,3,3,"CoreNetworkId, PrefixListArn, PrefixListAlias"
AWS::NetworkFirewall::VpcEndpointAssociation,NetworkFirewall,5,3,"SubnetMapping, VpcId, FirewallArn"
AWS::PCS::Cluster,PCS,6,3,"Networking, Scheduler, Size"
AWS::NetworkFirewall::RuleGroup,NetworkFirewall,7,3,"Type, Capacity, RuleGroupName"
AWS::Neptune::DBParameterGroup,Neptune,5,3,"Description, Parameters, Family"
AWS::Neptune::DBClusterParameterGroup,Neptune,5,3,"Description, Parameters, Family"
AWS::MemoryDB::Cluster,MemoryDB,29,3,"ACLName, ClusterName, NodeType"
AWS::MediaTailor::VodSource,MediaTailor,4,3,"VodSourceName, SourceLocationName, HttpPackageConfigurations"
AWS::MediaTailor::PlaybackConfiguration,MediaTailor,19,3,"VideoContentSourceUrl, Name, AdDecisionServerUrl"
AWS::MediaTailor::LiveSource,MediaTailor,4,3,"LiveSourceName, SourceLocationName, HttpPackageConfigurations"
AWS::Logs::Integration,Logs,3,3,"IntegrationName, ResourceConfig, IntegrationType"
AWS::Logs::Destination,Logs,5,3,"DestinationName, TargetArn, RoleArn"
AWS::Logs::AccountPolicy,Logs,5,3,"PolicyType, PolicyName, PolicyDocument"
AWS::IoT::ResourceSpecificLogging,IoT,3,3,"TargetType, TargetName, LogLevel"
AWS::IoT::AccountAuditConfiguration,IoT,4,3,"AccountId, AuditCheckConfigurations, RoleArn"
AWS::Invoicing::InvoiceUnit,Invoicing,6,3,"Rule, InvoiceReceiver, Name"
AWS::Route53Profiles::ProfileAssociation,Route53Profiles,5,3,"ProfileId, ResourceId, Name"
AWS::InspectorV2::Filter,InspectorV2,5,3,"FilterCriteria, FilterAction, Name"
AWS::Route53Profiles::ProfileResourceAssociation,Route53Profiles,4,3,"ProfileId, ResourceArn, Name"
AWS::Inspector::AssessmentTemplate,Inspector,5,3,"AssessmentTargetArn, DurationInSeconds, RulesPackageArns"
AWS::ImageBuilder::Workflow,ImageBuilder,9,3,"Type, Version, Name"
AWS::Route53RecoveryControl::SafetyRule,Route53RecoveryControl,6,3,"ControlPanelArn, RuleConfig, Name"
AWS::ImageBuilder::ImageRecipe,ImageBuilder,10,3,"ParentImage, Version, Name"
AWS::Route53Resolver::FirewallRuleGroupAssociation,Route53Resolver,6,3,"VpcId, FirewallRuleGroupId, Priority"
AWS::ImageBuilder::Component,ImageBuilder,10,3,"Platform, Version, Name"
AWS::IdentityStore::GroupMembership,IdentityStore,3,3,"MemberId, IdentityStoreId, GroupId"
AWS::GuardDuty::PublishingDestination,GuardDuty,4,3,"DestinationProperties, DetectorId, DestinationType"
AWS::GuardDuty::Filter,GuardDuty,7,3,"DetectorId, FindingCriteria, Name"
AWS::OpsWorks::Instance,OpsWorks,21,3,"InstanceType, LayerIds, StackId"
AWS::Grafana::Workspace,Grafana,17,3,"PermissionType, AccountAccessType, AuthenticationProviders"
AWS::Route53Resolver::ResolverEndpoint,Route53Resolver,11,3,"IpAddresses, Direction, SecurityGroupIds"
AWS::Glue::Table,Glue,4,3,"TableInput, DatabaseName, CatalogId"
AWS::Glue::SchemaVersionMetadata,Glue,3,3,"SchemaVersionId, Value, Key"
AWS::Glue::Schema,Glue,8,3,"DataFormat, Compatibility, Name"
AWS::S3::AccessGrant,S3,7,3,"Grantee, Permission, AccessGrantsLocationId"
AWS::Glue::MLTransform,Glue,13,3,"Role, TransformParameters, InputRecordTables"
AWS::Glue::Integration,Glue,9,3,"IntegrationName, SourceArn, TargetArn"
AWS::IoT::Logging,IoT,4,3,"AccountId, RoleArn, DefaultLogLevel"
AWS::Route53GlobalResolver::HostedZoneAssociation,Route53GlobalResolver,3,3,"ResourceArn, HostedZoneId, Name"
AWS::Lightsail::LoadBalancerTlsCertificate,Lightsail,6,3,"LoadBalancerName, CertificateDomainName, CertificateName"
AWS::IoTFleetWise::StateTemplate,IoTFleetWise,7,3,"StateTemplateProperties, SignalCatalogArn, Name"
AWS::Lightsail::Instance,Lightsail,12,3,"InstanceName, BundleId, BlueprintId"
AWS::Lightsail::Container,Lightsail,8,3,"ServiceName, Scale, Power"
AWS::ResilienceHub::App,ResilienceHub,9,3,"AppTemplateBody, ResourceMappings, Name"
AWS::ResilienceHub::ResiliencyPolicy,ResilienceHub,6,3,"Policy, Tier, PolicyName"
AWS::LaunchWizard::Deployment,LaunchWizard,5,3,"WorkloadName, DeploymentPatternName, Name"
AWS::Lambda::Permission,Lambda,9,3,"FunctionName, Action, Principal"
AWS::Lambda::LayerVersionPermission,Lambda,4,3,"Action, LayerVersionArn, Principal"
AWS::Lambda::Alias,Lambda,6,3,"FunctionName, FunctionVersion, Name"
AWS::Kendra::Index,Kendra,10,3,"RoleArn, Edition, Name"
AWS::Route53GlobalResolver::AccessSource,Route53GlobalResolver,7,3,"Cidr, DnsViewId, Protocol"
AWS::Kendra::DataSource,Kendra,10,3,"IndexId, Type, Name"
AWS::KafkaConnect::CustomPlugin,KafkaConnect,5,3,"ContentType, Name, Location"
AWS::Route53GlobalResolver::FirewallRule,Route53GlobalResolver,14,3,"Action, Name, DnsViewId"
AWS::IoTWireless::FuotaTask,IoTWireless,10,3,"FirmwareUpdateImage, LoRaWAN, FirmwareUpdateRole"
AWS::IoTWireless::Destination,IoTWireless,6,3,"Expression, ExpressionType, Name"
AWS::IoTTwinMaker::Workspace,IoTTwinMaker,5,3,"Role, WorkspaceId, S3Location"
AWS::IoTTwinMaker::SyncJob,IoTTwinMaker,4,3,"SyncSource, SyncRole, WorkspaceId"
AWS::IoTTwinMaker::Scene,IoTTwinMaker,7,3,"SceneId, ContentLocation, WorkspaceId"
AWS::IoTSiteWise::Portal,IoTSiteWise,10,3,"PortalName, PortalContactEmail, RoleArn"
AWS::IoTSiteWise::Dashboard,IoTSiteWise,5,3,"DashboardName, DashboardDefinition, DashboardDescription"
AWS::IoTSiteWise::ComputationModel,IoTSiteWise,5,3,"ComputationModelConfiguration, ComputationModelName, ComputationModelDataBinding"
AWS::IoTSiteWise::AccessPolicy,IoTSiteWise,3,3,"AccessPolicyResource, AccessPolicyIdentity, AccessPolicyPermission"
AWS::IoTFleetWise::Vehicle,IoTFleetWise,7,3,"DecoderManifestArn, ModelManifestArn, Name"
AWS::DataBrew::Ruleset,DataBrew,5,3,"TargetArn, Rules, Name"
Alexa::ASK::Skill,ASK,3,3,"AuthenticationConfiguration, VendorId, SkillPackage"
AWS::DataBrew::Job,DataBrew,20,3,"RoleArn, Name, Type"
AWS::AppSync::Resolver,AppSync,17,3,"TypeName, ApiId, FieldName"
AWS::AppIntegrations::EventIntegration,AppIntegrations,5,3,"EventBridgeBus, EventFilter, Name"
AWS::AppMesh::GatewayRoute,AppMesh,6,3,"MeshName, VirtualGatewayName, Spec"
AWS::ApiGateway::Method,ApiGateway,13,3,"RestApiId, ResourceId, HttpMethod"
AWS::AppMesh::Route,AppMesh,6,3,"MeshName, VirtualRouterName, Spec"
AWS::Bedrock::KnowledgeBase,Bedrock,6,3,"KnowledgeBaseConfiguration, RoleArn, Name"
AWS::ControlTower::EnabledBaseline,ControlTower,5,3,"BaselineVersion, BaselineIdentifier, TargetIdentifier"
AWS::ApiGateway::DomainNameAccessAssociation,ApiGateway,4,3,"DomainNameArn, AccessAssociationSource, AccessAssociationSourceType"
AWS::Bedrock::Guardrail,Bedrock,13,3,"Name, BlockedInputMessaging, BlockedOutputsMessaging"
AWS::CodeBuild::SourceCredential,CodeBuild,4,3,"ServerType, Token, AuthType"
AWS::Bedrock::FlowAlias,Bedrock,6,3,"RoutingConfiguration, FlowArn, Name"
AWS::Bedrock::DataSource,Bedrock,7,3,"KnowledgeBaseId, DataSourceConfiguration, Name"
AWS::CodeStarConnections::RepositoryLink,CodeStarConnections,5,3,"OwnerId, ConnectionArn, RepositoryName"
AWS::AppStream::StackUserAssociation,AppStream,4,3,"UserName, StackName, AuthenticationType"
AWS::ApiGateway::DocumentationPart,ApiGateway,3,3,"RestApiId, Properties, Location"
AWS::CustomerProfiles::EventStream,CustomerProfiles,4,3,"DomainName, EventStreamName, Uri"
AWS::AppConfig::ConfigurationProfile,AppConfig,10,3,"LocationUri, ApplicationId, Name"
AWS::CustomerProfiles::ObjectType,CustomerProfiles,13,3,"Description, DomainName, ObjectTypeName"
AWS::ApiGateway::Resource,ApiGateway,3,3,"ParentId, PathPart, RestApiId"
AWS::ApiGateway::UsagePlanKey,ApiGateway,3,3,"KeyType, UsagePlanId, KeyId"
AWS::CustomerProfiles::SegmentDefinition,CustomerProfiles,8,3,"DomainName, DisplayName, SegmentDefinitionName"
AWS::AppIntegrations::DataIntegration,AppIntegrations,8,3,"SourceURI, KmsKey, Name"
AWS::Connect::ContactFlowModuleAlias,Connect,4,3,"ContactFlowModuleId, ContactFlowModuleVersion, Name"
AWS::CleanRoomsML::TrainingDataset,CleanRoomsML,5,3,"TrainingData, RoleArn, Name"
AWS::AppSync::DataSource,AppSync,12,3,"Type, ApiId, Name"
AWS::ApiGatewayV2::RouteResponse,ApiGatewayV2,6,3,"RouteResponseKey, RouteId, ApiId"
AWS::BedrockAgentCore::Evaluator,BedrockAgentCore,5,3,"Level, EvaluatorName, EvaluatorConfig"
AWS::ApiGatewayV2::Model,ApiGatewayV2,5,3,"Schema, ApiId, Name"
AWS::ApiGatewayV2::IntegrationResponse,ApiGatewayV2,7,3,"IntegrationId, IntegrationResponseKey, ApiId"
AWS::Connect::ContactFlowModule,Connect,8,3,"Content, InstanceArn, Name"
AWS::CleanRoomsML::ConfiguredModelAlgorithmAssociation,CleanRoomsML,6,3,"MembershipIdentifier, ConfiguredModelAlgorithmArn, Name"
AWS::Connect::Queue,Connect,11,3,"HoursOfOperationArn, InstanceArn, Name"
AWS::Connect::QuickConnect,Connect,5,3,"QuickConnectConfig, InstanceArn, Name"
AWS::ApiGatewayV2::Authorizer,ApiGatewayV2,11,3,"AuthorizerType, ApiId, Name"
AWS::AppSync::FunctionConfiguration,AppSync,14,3,"Name, DataSourceName, ApiId"
AWS::ApiGatewayV2::ApiMapping,ApiGatewayV2,4,3,"DomainName, Stage, ApiId"
AWS::AppFlow::ConnectorProfile,AppFlow,6,3,"ConnectorProfileName, ConnectorType, ConnectionMode"
AWS::CloudWatch::MetricStream,CloudWatch,9,3,"FirehoseArn, OutputFormat, RoleArn"
AWS::CloudWatch::InsightRule,CloudWatch,5,3,"RuleState, RuleBody, RuleName"
AWS::CustomerProfiles::Recommender,CustomerProfiles,6,3,"RecommenderName, RecommenderRecipeName, DomainName"
AWS::Athena::PreparedStatement,Athena,4,3,"StatementName, WorkGroup, QueryStatement"
AWS::ApiGateway::Authorizer,ApiGateway,10,3,"Type, RestApiId, Name"
AWS::Cassandra::Type,Cassandra,3,3,"TypeName, Fields, KeyspaceName"
AWS::BillingConductor::PricingRule,BillingConductor,11,3,"Type, Scope, Name"
AWS::DAX::Cluster,DAX,15,3,"ReplicationFactor, IAMRoleARN, NodeType"
AWS::Connect::AgentStatus,Connect,8,3,"State, InstanceArn, Name"
AWS::Connect::IntegrationAssociation,Connect,3,3,"IntegrationArn, InstanceId, IntegrationType"
AWS::AppStream::ApplicationEntitlementAssociation,AppStream,3,3,"EntitlementName, ApplicationIdentifier, StackName"
AWS::Config::RemediationConfiguration,Config,10,3,"TargetType, ConfigRuleName, TargetId"
AWS::Backup::LogicallyAirGappedBackupVault,Backup,8,3,"BackupVaultName, MaxRetentionDays, MinRetentionDays"
AWS::Backup::RestoreTestingPlan,Backup,6,3,"ScheduleExpression, RecoveryPointSelection, RestoreTestingPlanName"
AWS::Cognito::UserPoolUserToGroupAttachment,Cognito,3,3,"GroupName, UserPoolId, Username"
AWS::APS::Scraper,APS,7,3,"ScrapeConfiguration, Destination, Source"
AWS::APS::RuleGroupsNamespace,APS,4,3,"Data, Workspace, Name"
AWS::Backup::TieringConfiguration,Backup,4,3,"TieringConfigurationName, BackupVaultName, ResourceSelection"
AWS::APS::AnomalyDetector,APS,7,3,"Configuration, Alias, Workspace"
AWS::Comprehend::Flywheel,Comprehend,8,3,"DataLakeS3Uri, DataAccessRoleArn, FlywheelName"
AWS::ACMPCA::Permission,ACMPCA,4,3,"CertificateAuthorityArn, Actions, Principal"
AWS::Connect::InstanceStorageConfig,Connect,7,3,"StorageType, InstanceArn, ResourceType"
AWS::CE::CostCategory,CE,6,3,"RuleVersion, Rules, Name"
AWS::AppMesh::VirtualService,AppMesh,5,3,"MeshName, VirtualServiceName, Spec"
AWS::Amplify::Domain,Amplify,7,3,"SubDomainSettings, AppId, DomainName"
AWS::BedrockAgentCore::Policy,BedrockAgentCore,5,3,"PolicyEngineId, Definition, Name"
AWS::Bedrock::Blueprint,Bedrock,6,3,"Type, BlueprintName, Schema"
AWS::Cognito::UserPoolResourceServer,Cognito,4,3,"UserPoolId, Identifier, Name"
AWS::AppStream::DirectoryConfig,AppStream,4,3,"OrganizationalUnitDistinguishedNames, ServiceAccountCredentials, DirectoryName"
AWS::CloudFront::ConnectionFunction,CloudFront,5,3,"ConnectionFunctionConfig, ConnectionFunctionCode, Name"
AWS::CleanRooms::IdMappingTable,CleanRooms,6,3,"MembershipIdentifier, InputReferenceConfig, Name"
AWS::DMS::DataMigration,DMS,8,3,"DataMigrationType, MigrationProjectIdentifier, ServiceAccessRoleArn"
AWS::CleanRooms::IdNamespaceAssociation,CleanRooms,6,3,"MembershipIdentifier, InputReferenceConfig, Name"
AWS::B2BI::Capability,B2BI,5,3,"Type, Configuration, Name"
AWS::CloudFront::DistributionTenant,CloudFront,9,3,"Domains, DistributionId, Name"
AWS::CloudFront::Function,CloudFront,5,3,"FunctionConfig, FunctionCode, Name"
AWS::BillingConductor::BillingGroup,BillingConductor,6,3,"ComputationPreference, AccountGrouping, Name"
AWS::BedrockAgentCore::RuntimeEndpoint,BedrockAgentCore,5,2,"AgentRuntimeId, Name"
AWS::MediaLive::EventBridgeRuleTemplate,MediaLive,6,2,"EventType, Name"
AWS::MediaPackageV2::Channel,MediaPackageV2,7,2,"ChannelName, ChannelGroupName"
AWS::MediaConnect::RouterNetworkInterface,MediaConnect,4,2,"Configuration, Name"
AWS::Billing::BillingView,Billing,5,2,"SourceViews, Name"
AWS::MediaLive::SignalMap,MediaLive,7,2,"DiscoveryEntryPointArn, Name"
AWS::Macie::FindingsFilter,Macie,6,2,"FindingCriteria, Name"
AWS::MediaLive::SdiSource,MediaLive,4,2,"Type, Name"
AWS::CE::AnomalyMonitor,CE,5,2,"MonitorType, MonitorName"
AWS::MediaPackage::PackagingConfiguration,MediaPackage,7,2,"Id, PackagingGroupId"
AWS::MediaConnect::BridgeSource,MediaConnect,4,2,"BridgeArn, Name"
AWS::MediaLive::Network,MediaLive,4,2,"IpPools, Name"
AWS::MediaConnect::Flow,MediaConnect,12,2,"Source, Name"
AWS::BillingConductor::CustomLineItem,BillingConductor,9,2,"BillingGroupArn, Name"
AWS::MediaPackage::OriginEndpoint,MediaPackage,14,2,"ChannelId, Id"
AWS::ManagedBlockchain::Node,ManagedBlockchain,3,2,"NetworkId, NodeConfiguration"
AWS::DataBrew::Recipe,DataBrew,4,2,"Steps, Name"
AWS::BedrockAgentCore::Memory,BedrockAgentCore,8,2,"EventExpiryDuration, Name"
AWS::ObservabilityAdmin::S3TableIntegration,ObservabilityAdmin,4,2,"Encryption, RoleArn"
AWS::Notifications::ManagedNotificationAdditionalChannelAssociation,Notifications,2,2,"ChannelArn, ManagedNotificationConfigurationArn"
AWS::Notifications::NotificationConfiguration,Notifications,4,2,"Description, Name"
AWS::Notifications::OrganizationalUnitAssociation,Notifications,2,2,"OrganizationalUnitId, NotificationConfigurationArn"
AWS::NotificationsContacts::EmailContact,NotificationsContacts,3,2,"EmailAddress, Name"
AWS::Oam::Link,Oam,5,2,"SinkIdentifier, ResourceTypes"
AWS::ObservabilityAdmin::OrganizationCentralizationRule,ObservabilityAdmin,3,2,"Rule, RuleName"
AWS::ObservabilityAdmin::OrganizationTelemetryRule,ObservabilityAdmin,3,2,"Rule, RuleName"
AWS::ObservabilityAdmin::TelemetryRule,ObservabilityAdmin,3,2,"Rule, RuleName"
AWS::Notifications::ChannelAssociation,Notifications,2,2,"NotificationConfigurationArn, Arn"
AWS::Omics::AnnotationStore,Omics,7,2,"StoreFormat, Name"
AWS::Omics::Configuration,Omics,4,2,"RunConfigurations, Name"
AWS::Omics::VariantStore,Omics,5,2,"Reference, Name"
AWS::Omics::WorkflowVersion,Omics,19,2,"WorkflowId, VersionName"
AWS::OpenSearchServerless::CollectionGroup,OpenSearchServerless,5,2,"StandbyReplicas, Name"
AWS::OpenSearchServerless::Index,OpenSearchServerless,4,2,"IndexName, CollectionEndpoint"
AWS::Bedrock::AgentAlias,Bedrock,5,2,"AgentAliasName, AgentId"
AWS::Notifications::ManagedNotificationAccountContactAssociation,Notifications,2,2,"ContactIdentifier, ManagedNotificationConfigurationArn"
AWS::NetworkManager::TransitGatewayRouteTableAttachment,NetworkManager,7,2,"TransitGatewayRouteTableArn, PeeringId"
AWS::BedrockAgentCore::GatewayTarget,BedrockAgentCore,6,2,"TargetConfiguration, Name"
AWS::NeptuneGraph::PrivateGraphEndpoint,NeptuneGraph,4,2,"VpcId, GraphIdentifier"
AWS::MediaTailor::ChannelPolicy,MediaTailor,2,2,"Policy, ChannelName"
AWS::BedrockAgentCore::CodeInterpreterCustom,BedrockAgentCore,5,2,"NetworkConfiguration, Name"
AWS::MediaTailor::SourceLocation,MediaTailor,6,2,"SourceLocationName, HttpConfiguration"
AWS::BedrockAgentCore::BrowserCustom,BedrockAgentCore,7,2,"NetworkConfiguration, Name"
AWS::MemoryDB::ParameterGroup,MemoryDB,5,2,"ParameterGroupName, Family"
AWS::MemoryDB::SubnetGroup,MemoryDB,4,2,"SubnetGroupName, SubnetIds"
AWS::Macie::CustomDataIdentifier,Macie,7,2,"Regex, Name"
AWS::NetworkFirewall::Firewall,NetworkFirewall,13,2,"FirewallPolicyArn, FirewallName"
AWS::NetworkManager::TransitGatewayRegistration,NetworkManager,2,2,"GlobalNetworkId, TransitGatewayArn"
AWS::NetworkFirewall::FirewallPolicy,NetworkFirewall,4,2,"FirewallPolicyName, FirewallPolicy"
AWS::NetworkFirewall::LoggingConfiguration,NetworkFirewall,4,2,"FirewallArn, LoggingConfiguration"
AWS::NetworkFirewall::TLSInspectionConfiguration,NetworkFirewall,4,2,"TLSInspectionConfigurationName, TLSInspectionConfiguration"
AWS::NetworkManager::ConnectPeer,NetworkManager,7,2,"ConnectAttachmentId, PeerAddress"
AWS::Bedrock::Flow,Bedrock,10,2,"ExecutionRoleArn, Name"
AWS::NetworkManager::SiteToSiteVpnAttachment,NetworkManager,7,2,"CoreNetworkId, VpnConnectionArn"
AWS::NetworkManager::TransitGatewayPeering,NetworkManager,3,2,"CoreNetworkId, TransitGatewayArn"
AWS::Neptune::DBSubnetGroup,Neptune,4,2,"DBSubnetGroupDescription, SubnetIds"
AWS::Location::RouteCalculator,Location,5,2,"CalculatorName, DataSource"
AWS::Macie::AllowList,Macie,4,2,"Criteria, Name"
AWS::KMS::ReplicaKey,KMS,6,2,"KeyPolicy, PrimaryKeyArn"
AWS::IoTSiteWise::Gateway,IoTSiteWise,5,2,"GatewayName, GatewayPlatform"
AWS::IoTSiteWise::Project,IoTSiteWise,5,2,"ProjectName, PortalId"
AWS::IoTTwinMaker::ComponentType,IoTTwinMaker,10,2,"WorkspaceId, ComponentTypeId"
AWS::IoTTwinMaker::Entity,IoTTwinMaker,8,2,"EntityName, WorkspaceId"
